Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 19, 2013",$0.04,$0.02,$0.02,$0.00
"Mar 15, 2013",$0.02,$0.00,$0.02,$0.00
"Mar 12, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 11, 2013",$0.04,$0.04,$0.00,$0.00
"Mar 09, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 27, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 26, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 25, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 23, 2013",$0.05,$0.05,$0.00,$0.00
"Feb 21, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 20, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 17, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 16, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 13, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 10, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 07, 2013",$0.09,$0.09,$0.00,$0.00
"Feb 04, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 03, 2013",$0.06,$0.05,$0.00,$0.00
"Jan 30, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 29, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 27, 2013",$0.13,$0.13,$0.00,$0.00
"Jan 24, 2013",$0.10,$0.10,$0.00,$0.00
"Jan 23, 2013",$0.08,$0.08,$0.00,$0.00
"Jan 22, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 17, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 16, 2013",$0.02,$0.01,$0.01,$0.00
"Jan 14, 2013",$0.05,$0.05,$0.00,$0.00
"Dec 30, 2012",$0.02,$0.02,$0.00,$0.00
"Dec 22, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 20, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 19, 2012",$0.06,$0.06,$0.00,$0.00
"Dec 17, 2012",$0.10,$0.10,$0.00,$0.00
"Dec 12, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 11, 2012",$0.02,$0.02,$0.00,$0.00
"Dec 09, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 08, 2012",$0.12,$0.12,$0.00,$0.00
"Dec 07, 2012",$0.05,$0.05,$0.00,$0.00
"Dec 02, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 21, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 20, 2012",$0.04,$0.02,$0.02,$0.00
"Nov 19, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 18, 2012",$0.10,$0.10,$0.00,$0.00
"Nov 15, 2012",$0.05,$0.04,$0.01,$0.00
"Nov 12, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 08, 2012",$0.04,$0.04,$0.00,$0.00
"Nov 07, 2012",$0.04,$0.03,$0.01,$0.00
"Nov 06, 2012",$0.07,$0.07,$0.00,$0.00
"Nov 05, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 04, 2012",$0.07,$0.05,$0.03,$0.00
"Nov 03, 2012",$0.20,$0.19,$0.01,$0.00
"Nov 01, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 31, 2012",$0.06,$0.04,$0.01,$0.00
"Oct 29, 2012",$0.11,$0.11,$0.00,$0.00
"Oct 22, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 19, 2012",$0.12,$0.11,$0.01,$0.00
"Oct 17, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 15, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 12, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 10, 2012",$0.20,$0.20,$0.00,$0.00
"Oct 08, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 07, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 05, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 04, 2012",$0.02,$0.00,$0.02,$0.00
"Sep 29, 2012",$0.02,$0.02,$0.00,$0.00
"Sep 25, 2012",$0.02,$0.00,$0.02,$0.00
"Sep 20, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 19, 2012",$0.02,$0.02,$0.00,$0.00
"Sep 18, 2012",$0.04,$0.04,$0.00,$0.00
"Sep 17, 2012",$0.02,$0.02,$0.01,$0.00
"Sep 14, 2012",$0.04,$0.04,$0.00,$0.00
"Sep 13, 2012",$0.03,$0.03,$0.00,$0.00
"Sep 09, 2012",$0.01,$0.00,$0.00,$0.00
"Sep 01, 2012",$0.02,$0.02,$0.00,$0.00
