Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 19, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 16, 2013",$0.01,$0.01,$0.00,$0.00
"Mar 14, 2013",$0.13,$0.13,$0.00,$0.00
"Mar 13, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 12, 2013",$0.07,$0.07,$0.00,$0.00
"Mar 08, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 07, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 06, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 01, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 28, 2013",$0.06,$0.05,$0.00,$0.00
"Feb 27, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 25, 2013",$0.05,$0.05,$0.00,$0.00
"Feb 24, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 21, 2013",$0.02,$0.02,$0.00,$0.00
"Feb 18, 2013",$0.01,$0.01,$0.00,$0.00
"Feb 14, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 12, 2013",$0.02,$0.00,$0.01,$0.00
"Feb 08, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 05, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 04, 2013",$0.03,$0.00,$0.03,$0.00
"Jan 31, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 30, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 29, 2013",$0.02,$0.00,$0.02,$0.00
"Jan 28, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 24, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 23, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 20, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 19, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 17, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 15, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 11, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 10, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 09, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 07, 2013",$0.01,$0.00,$0.01,$0.00
"Dec 28, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 26, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 22, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 21, 2012",$0.05,$0.05,$0.00,$0.00
"Dec 19, 2012",$0.53,$0.53,$0.00,$0.00
"Dec 16, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 15, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 14, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 10, 2012",$0.03,$0.00,$0.03,$0.00
"Dec 07, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 06, 2012",$0.03,$0.03,$0.00,$0.00
"Dec 03, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 01, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 26, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 24, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 15, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 13, 2012",$0.10,$0.09,$0.01,$0.00
"Nov 11, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 10, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 09, 2012",$0.04,$0.04,$0.00,$0.00
"Nov 07, 2012",$0.04,$0.04,$0.00,$0.00
"Nov 06, 2012",$0.05,$0.05,$0.00,$0.00
"Nov 05, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 04, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 03, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 31, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 29, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 25, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 22, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 21, 2012",$0.05,$0.04,$0.01,$0.00
"Oct 19, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 18, 2012",$0.11,$0.10,$0.00,$0.00
"Oct 15, 2012",$0.02,$0.01,$0.01,$0.00
"Oct 14, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 11, 2012",$0.04,$0.04,$0.00,$0.00
"Oct 10, 2012",$0.03,$0.00,$0.03,$0.00
"Oct 04, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 30, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 28, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 27, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 25, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 21, 2012",$0.15,$0.15,$0.00,$0.00
"Sep 20, 2012",$0.02,$0.02,$0.00,$0.00
"Sep 19, 2012",$0.02,$0.02,$0.00,$0.00
"Sep 17, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 12, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 11, 2012",$0.07,$0.07,$0.00,$0.00
"Sep 08, 2012",$0.06,$0.06,$0.00,$0.00
"Sep 04, 2012",$0.14,$0.14,$0.00,$0.00
"Sep 02, 2012",$0.01,$0.01,$0.00,$0.00
"Sep 01, 2012",$0.03,$0.00,$0.03,$0.00
