Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",7,30,4.26,5
"Mar 19, 2013",4,5,1.26,3
"Mar 18, 2013",4,46,11.40,3
"Mar 17, 2013",2,13,6.72,2
"Mar 16, 2013",9,16,1.83,7
"Mar 15, 2013",2,7,3.37,2
"Mar 14, 2013",7,14,1.99,5
"Mar 13, 2013",0,0,0.00,0
"Mar 12, 2013",8,8,0.96,4
"Mar 11, 2013",3,20,6.78,2
"Mar 10, 2013",9,41,4.55,8
"Mar 09, 2013",3,5,1.55,2
"Mar 08, 2013",6,27,4.48,5
"Mar 07, 2013",5,29,5.83,4
"Mar 06, 2013",4,7,1.67,4
"Mar 05, 2013",0,0,0.00,0
"Mar 04, 2013",5,12,2.44,5
"Mar 03, 2013",6,26,4.25,5
"Mar 02, 2013",4,17,4.26,4
"Mar 01, 2013",4,1,0.19,3
"Feb 28, 2013",6,14,2.36,6
"Feb 27, 2013",11,17,1.54,10
"Feb 26, 2013",6,19,3.11,6
"Feb 25, 2013",4,20,4.93,3
"Feb 24, 2013",13,41,3.18,11
"Feb 23, 2013",3,12,3.98,3
"Feb 22, 2013",0,0,0.00,0
"Feb 21, 2013",8,24,3.05,5
"Feb 20, 2013",13,22,1.72,13
"Feb 19, 2013",9,23,2.60,7
"Feb 18, 2013",4,32,8.00,4
"Feb 17, 2013",5,29,5.76,5
"Feb 16, 2013",7,14,2.02,4
"Feb 15, 2013",8,53,6.66,3
"Feb 14, 2013",3,22,7.21,2
"Feb 13, 2013",3,7,2.31,2
"Feb 12, 2013",5,2,0.50,5
"Feb 11, 2013",4,17,4.13,3
"Feb 10, 2013",10,46,4.59,8
"Feb 09, 2013",9,22,2.39,7
"Feb 08, 2013",7,24,3.44,7
"Feb 07, 2013",8,36,4.46,7
"Feb 06, 2013",7,23,3.25,6
"Feb 05, 2013",6,12,1.94,4
"Feb 04, 2013",3,5,1.61,3
"Feb 03, 2013",12,16,1.36,11
"Feb 02, 2013",4,10,2.50,4
"Feb 01, 2013",3,9,3.09,2
"Jan 31, 2013",7,21,2.93,6
"Jan 30, 2013",7,21,3.04,6
"Jan 29, 2013",9,26,2.94,9
"Jan 28, 2013",8,38,4.76,5
"Jan 27, 2013",12,11,0.95,7
"Jan 26, 2013",7,41,5.88,7
"Jan 25, 2013",10,2,0.18,5
"Jan 24, 2013",8,49,6.18,7
"Jan 23, 2013",10,52,5.18,9
"Jan 22, 2013",12,50,4.16,10
"Jan 21, 2013",8,22,2.80,8
"Jan 20, 2013",4,17,4.37,4
"Jan 19, 2013",5,39,7.78,5
"Jan 18, 2013",15,39,2.61,8
"Jan 17, 2013",4,10,2.56,4
"Jan 16, 2013",6,23,3.78,5
"Jan 15, 2013",9,24,2.72,8
"Jan 14, 2013",7,41,5.82,7
"Jan 13, 2013",6,11,1.88,6
"Jan 12, 2013",5,17,3.39,5
"Jan 11, 2013",1,0,0.50,1
"Jan 10, 2013",7,3,0.48,6
"Jan 09, 2013",4,9,2.15,4
"Jan 08, 2013",6,10,1.75,6
"Jan 07, 2013",2,9,4.26,2
"Jan 06, 2013",6,23,3.89,6
"Jan 05, 2013",1,4,3.84,1
"Jan 04, 2013",10,25,2.48,7
"Jan 03, 2013",2,11,5.66,2
"Jan 02, 2013",5,31,6.17,5
"Jan 01, 2013",1,0,0.00,0
"Dec 31, 2012",1,0,0.10,1
"Dec 30, 2012",3,15,5.02,3
"Dec 29, 2012",7,34,4.80,5
"Dec 28, 2012",4,11,2.85,3
"Dec 27, 2012",4,2,0.55,3
"Dec 26, 2012",2,2,1.00,2
"Dec 25, 2012",2,6,2.85,1
"Dec 24, 2012",3,11,3.66,2
"Dec 23, 2012",3,14,4.63,3
"Dec 22, 2012",5,27,5.36,2
"Dec 21, 2012",4,25,6.33,4
"Dec 20, 2012",4,13,3.30,2
"Dec 19, 2012",8,43,5.42,4
"Dec 18, 2012",6,20,3.35,4
