Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",0,0,0.00,0
"Mar 19, 2013",1,2,2.14,1
"Mar 18, 2013",1,0,0.45,1
"Mar 17, 2013",1,1,0.50,1
"Mar 16, 2013",1,12,12.08,1
"Mar 15, 2013",1,0,0.18,1
"Mar 14, 2013",1,12,12.08,1
"Mar 13, 2013",3,2,0.74,2
"Mar 12, 2013",5,8,1.56,4
"Mar 11, 2013",4,10,2.50,3
"Mar 10, 2013",2,8,4.15,2
"Mar 09, 2013",2,0,0.17,1
"Mar 08, 2013",0,0,0.00,0
"Mar 07, 2013",5,13,2.67,4
"Mar 06, 2013",0,0,0.00,0
"Mar 05, 2013",2,13,6.34,1
"Mar 04, 2013",5,17,3.32,5
"Mar 03, 2013",2,1,0.33,2
"Mar 02, 2013",2,1,0.34,2
"Mar 01, 2013",5,19,3.76,5
"Feb 28, 2013",3,3,1.14,3
"Feb 27, 2013",4,13,3.23,4
"Feb 26, 2013",0,0,0.00,0
"Feb 25, 2013",3,2,0.66,3
"Feb 24, 2013",5,12,2.44,4
"Feb 23, 2013",1,1,1.05,1
"Feb 22, 2013",2,2,0.91,2
"Feb 21, 2013",0,0,0.00,0
"Feb 20, 2013",5,3,0.61,4
"Feb 19, 2013",0,0,0.00,0
"Feb 18, 2013",4,7,1.70,3
"Feb 17, 2013",2,25,12.49,2
"Feb 16, 2013",2,1,0.48,2
"Feb 15, 2013",1,1,0.93,1
"Feb 14, 2013",3,39,13.04,3
"Feb 13, 2013",3,10,3.18,3
"Feb 12, 2013",7,16,2.23,6
"Feb 11, 2013",0,0,0.00,0
"Feb 10, 2013",2,2,1.15,2
"Feb 09, 2013",2,2,1.11,2
"Feb 08, 2013",1,0,0.00,1
"Feb 07, 2013",2,0,0.08,2
"Feb 06, 2013",3,15,5.09,2
"Feb 05, 2013",3,21,7.02,2
"Feb 04, 2013",5,5,0.93,5
"Feb 03, 2013",3,12,4.14,3
"Feb 02, 2013",0,0,0.00,0
"Feb 01, 2013",8,5,0.60,6
"Jan 31, 2013",2,6,3.12,2
"Jan 30, 2013",5,7,1.43,3
"Jan 29, 2013",6,27,4.47,5
"Jan 28, 2013",4,4,0.93,3
"Jan 27, 2013",3,2,0.79,3
"Jan 26, 2013",1,0,0.49,1
"Jan 25, 2013",8,14,1.76,5
"Jan 24, 2013",5,5,1.01,5
"Jan 23, 2013",1,2,2.47,1
"Jan 22, 2013",1,0,0.49,1
"Jan 21, 2013",7,3,0.45,6
"Jan 20, 2013",0,0,0.00,0
"Jan 19, 2013",1,2,1.82,1
"Jan 18, 2013",1,1,1.25,1
"Jan 17, 2013",3,16,5.26,3
"Jan 16, 2013",2,0,0.17,1
"Jan 15, 2013",3,2,0.61,3
"Jan 14, 2013",3,20,6.74,3
"Jan 13, 2013",0,0,0.00,0
"Jan 12, 2013",2,1,0.29,1
"Jan 11, 2013",1,5,4.51,1
"Jan 10, 2013",2,24,12.10,2
"Jan 09, 2013",1,2,1.82,1
"Jan 08, 2013",3,11,3.57,3
"Jan 07, 2013",2,1,0.74,1
"Jan 06, 2013",1,1,0.80,1
"Jan 05, 2013",1,1,1.48,1
"Jan 04, 2013",2,4,2.03,1
"Jan 03, 2013",1,0,0.06,1
"Jan 02, 2013",0,0,0.00,0
"Jan 01, 2013",0,0,0.00,0
"Dec 31, 2012",5,5,0.92,2
"Dec 30, 2012",1,1,0.50,1
"Dec 29, 2012",0,0,0.00,0
"Dec 28, 2012",2,8,4.01,2
"Dec 27, 2012",1,0,0.16,1
"Dec 26, 2012",2,1,0.61,2
"Dec 25, 2012",0,0,0.00,0
"Dec 24, 2012",1,2,1.83,1
"Dec 23, 2012",1,0,0.00,1
"Dec 22, 2012",0,0,0.00,0
"Dec 21, 2012",1,0,0.16,1
"Dec 20, 2012",2,1,0.50,2
"Dec 19, 2012",2,1,0.25,2
"Dec 18, 2012",4,1,0.15,3
"Dec 17, 2012",3,4,1.36,3
"Dec 16, 2012",3,2,0.76,3
"Dec 15, 2012",2,8,4.13,2
"Dec 14, 2012",0,0,0.00,0
"Dec 13, 2012",4,24,6.04,3
"Dec 12, 2012",0,0,0.00,0
"Dec 11, 2012",1,0,0.00,1
"Dec 10, 2012",0,0,0.00,0
"Dec 09, 2012",1,0,0.49,1
"Dec 08, 2012",0,0,0.00,0
"Dec 07, 2012",2,3,1.30,2
"Dec 06, 2012",5,40,7.95,4
"Dec 05, 2012",10,89,8.87,5
"Dec 04, 2012",5,14,2.72,3
"Dec 03, 2012",7,8,1.15,6
"Dec 02, 2012",3,3,1.11,3
"Dec 01, 2012",5,18,3.59,4
"Nov 30, 2012",1,0,0.16,1
"Nov 29, 2012",5,7,1.46,5
"Nov 28, 2012",2,2,1.24,2
"Nov 27, 2012",0,0,0.00,0
"Nov 26, 2012",1,0,0.16,1
"Nov 25, 2012",1,4,3.84,1
"Nov 24, 2012",1,12,12.08,1
"Nov 23, 2012",1,0,0.30,1
"Nov 22, 2012",6,19,3.14,5
"Nov 21, 2012",0,0,0.00,0
"Nov 20, 2012",2,11,5.26,1
"Nov 19, 2012",2,1,0.63,2
"Nov 18, 2012",3,3,0.91,3
"Nov 17, 2012",0,0,0.00,0
"Nov 16, 2012",4,8,1.93,3
"Nov 15, 2012",1,1,1.14,1
"Nov 14, 2012",4,7,1.67,2
"Nov 13, 2012",5,9,1.75,3
"Nov 12, 2012",1,0,0.50,1
"Nov 11, 2012",3,6,1.99,3
"Nov 10, 2012",7,13,1.89,5
"Nov 09, 2012",3,11,3.83,1
"Nov 08, 2012",11,34,3.12,8
"Nov 07, 2012",3,17,5.55,3
"Nov 06, 2012",3,10,3.42,3
"Nov 05, 2012",7,28,4.00,6
"Nov 04, 2012",2,5,2.36,1
"Nov 03, 2012",1,12,12.08,1
"Nov 02, 2012",3,9,3.09,3
"Nov 01, 2012",1,0,0.34,1
"Oct 31, 2012",4,1,0.36,2
"Oct 30, 2012",1,0,0.00,0
"Oct 29, 2012",4,6,1.47,3
"Oct 28, 2012",8,19,2.40,6
"Oct 27, 2012",1,12,12.19,1
"Oct 26, 2012",2,1,0.62,1
"Oct 25, 2012",8,4,0.50,6
"Oct 24, 2012",6,46,7.68,5
"Oct 23, 2012",2,4,2.15,2
"Oct 22, 2012",7,32,4.55,6
"Oct 21, 2012",2,0,0.00,0
"Oct 20, 2012",6,28,4.68,4
"Oct 19, 2012",2,1,0.41,2
"Oct 18, 2012",7,4,0.62,6
"Oct 17, 2012",1,1,1.34,1
"Oct 16, 2012",4,3,0.65,4
"Oct 15, 2012",2,1,0.50,1
"Oct 14, 2012",7,2,0.28,4
"Oct 13, 2012",0,0,0.00,0
"Oct 12, 2012",5,20,4.01,3
"Oct 11, 2012",3,4,1.29,3
"Oct 10, 2012",3,39,13.13,1
"Oct 09, 2012",6,3,0.53,3
"Oct 08, 2012",7,16,2.22,3
"Oct 07, 2012",5,21,4.22,4
"Oct 06, 2012",1,0,0.00,0
"Oct 05, 2012",4,17,4.23,2
"Oct 04, 2012",5,9,1.90,5
"Oct 03, 2012",5,40,7.94,2
"Oct 02, 2012",2,1,0.50,1
"Oct 01, 2012",1,0,0.00,1
"Sep 30, 2012",3,2,0.63,2
"Sep 29, 2012",3,21,6.93,2
"Sep 28, 2012",4,0,0.10,1
"Sep 27, 2012",5,3,0.64,5
"Sep 26, 2012",4,1,0.31,4
"Sep 25, 2012",2,0,0.00,0
"Sep 24, 2012",2,5,2.51,1
"Sep 23, 2012",3,0,0.07,1
"Sep 22, 2012",1,0,0.00,0
"Sep 21, 2012",0,0,0.00,0
"Sep 20, 2012",11,36,3.31,6
"Sep 19, 2012",2,1,0.65,2
"Sep 18, 2012",7,24,3.49,6
"Sep 17, 2012",3,1,0.50,2
"Sep 16, 2012",3,0,0.00,0
"Sep 15, 2012",6,1,0.15,1
"Sep 14, 2012",0,0,0.00,0
"Sep 13, 2012",3,11,3.63,3
"Sep 12, 2012",3,4,1.17,1
"Sep 11, 2012",4,13,3.33,4
"Sep 10, 2012",2,1,0.63,1
"Sep 09, 2012",4,39,9.70,2
"Sep 08, 2012",1,0,0.00,1
"Sep 07, 2012",8,12,1.48,5
"Sep 06, 2012",7,8,1.21,5
"Sep 05, 2012",1,0,0.00,1
"Sep 04, 2012",7,12,1.70,3
"Sep 03, 2012",1,1,0.50,1
"Sep 02, 2012",1,0,0.00,0
"Sep 01, 2012",2,11,5.30,2
