Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",13,25,1.91,10
"Mar 19, 2013",14,34,2.41,10
"Mar 18, 2013",11,15,1.35,10
"Mar 17, 2013",12,32,2.63,11
"Mar 16, 2013",4,4,0.90,3
"Mar 15, 2013",7,25,3.60,6
"Mar 14, 2013",9,29,3.21,7
"Mar 13, 2013",18,45,2.50,16
"Mar 12, 2013",17,45,2.65,12
"Mar 11, 2013",9,29,3.22,7
"Mar 10, 2013",16,51,3.18,13
"Mar 09, 2013",14,34,2.44,8
"Mar 08, 2013",10,18,1.78,8
"Mar 07, 2013",12,48,4.00,12
"Mar 06, 2013",20,58,2.88,15
"Mar 05, 2013",18,59,3.28,16
"Mar 04, 2013",13,31,2.38,13
"Mar 03, 2013",15,49,3.28,13
"Mar 02, 2013",6,20,3.42,5
"Mar 01, 2013",4,1,0.22,4
"Feb 28, 2013",14,37,2.66,12
"Feb 27, 2013",24,76,3.17,19
"Feb 26, 2013",21,85,4.03,17
"Feb 25, 2013",29,124,4.28,26
"Feb 24, 2013",22,80,3.62,20
"Feb 23, 2013",18,59,3.30,16
"Feb 22, 2013",12,40,3.36,9
"Feb 21, 2013",23,71,3.07,21
"Feb 20, 2013",27,88,3.24,23
"Feb 19, 2013",39,163,4.17,36
"Feb 18, 2013",36,127,3.54,31
"Feb 17, 2013",20,76,3.81,17
"Feb 16, 2013",19,50,2.64,12
"Feb 15, 2013",15,49,3.26,9
"Feb 14, 2013",5,24,4.75,5
"Feb 13, 2013",14,30,2.14,10
"Feb 12, 2013",30,84,2.80,26
"Feb 11, 2013",24,97,4.05,22
"Feb 10, 2013",16,43,2.66,13
"Feb 09, 2013",18,52,2.88,17
"Feb 08, 2013",11,32,2.94,9
"Feb 07, 2013",29,74,2.55,23
"Feb 06, 2013",26,86,3.31,22
"Feb 05, 2013",21,59,2.81,18
"Feb 04, 2013",18,52,2.91,13
"Feb 03, 2013",33,117,3.55,21
"Feb 02, 2013",9,30,3.34,8
"Feb 01, 2013",17,29,1.68,13
"Jan 31, 2013",11,28,2.51,10
"Jan 30, 2013",20,76,3.79,17
"Jan 29, 2013",25,86,3.44,21
"Jan 28, 2013",12,45,3.75,11
"Jan 27, 2013",22,72,3.26,17
"Jan 26, 2013",8,39,4.93,7
"Jan 25, 2013",6,19,3.18,4
"Jan 24, 2013",16,77,4.82,14
"Jan 23, 2013",24,82,3.41,23
"Jan 22, 2013",22,64,2.89,14
"Jan 21, 2013",11,23,2.05,10
"Jan 20, 2013",12,37,3.06,10
"Jan 19, 2013",7,24,3.47,6
"Jan 18, 2013",3,11,3.62,3
"Jan 17, 2013",20,83,4.16,17
"Jan 16, 2013",13,63,4.82,11
"Jan 15, 2013",9,27,3.00,7
"Jan 14, 2013",11,36,3.23,7
"Jan 13, 2013",5,24,4.84,3
"Jan 12, 2013",8,24,2.97,7
"Jan 11, 2013",16,45,2.82,12
"Jan 10, 2013",21,64,3.06,19
"Jan 09, 2013",22,44,2.00,14
"Jan 08, 2013",14,53,3.79,13
"Jan 07, 2013",20,45,2.24,16
"Jan 06, 2013",15,29,1.90,13
"Jan 05, 2013",10,30,3.00,9
"Jan 04, 2013",8,26,3.28,8
"Jan 03, 2013",19,90,4.75,13
"Jan 02, 2013",13,31,2.41,11
"Jan 01, 2013",3,19,6.26,3
"Dec 31, 2012",7,13,1.83,6
"Dec 30, 2012",11,9,0.86,4
"Dec 29, 2012",7,19,2.69,7
"Dec 28, 2012",12,17,1.41,11
"Dec 27, 2012",7,21,3.06,5
"Dec 26, 2012",5,13,2.55,4
"Dec 25, 2012",4,6,1.55,4
"Dec 24, 2012",5,10,1.92,4
"Dec 23, 2012",9,20,2.23,8
"Dec 22, 2012",5,22,4.39,4
"Dec 21, 2012",2,11,5.68,2
"Dec 20, 2012",3,12,4.04,3
"Dec 19, 2012",13,47,3.59,11
"Dec 18, 2012",16,43,2.66,16
"Dec 17, 2012",15,68,4.54,11
"Dec 16, 2012",11,43,3.94,11
"Dec 15, 2012",11,19,1.76,10
"Dec 14, 2012",13,52,3.98,12
"Dec 13, 2012",18,55,3.08,16
"Dec 12, 2012",18,57,3.19,17
"Dec 11, 2012",31,134,4.32,27
"Dec 10, 2012",29,72,2.48,26
"Dec 09, 2012",24,70,2.93,18
"Dec 08, 2012",14,40,2.87,12
"Dec 07, 2012",14,31,2.20,13
"Dec 06, 2012",13,31,2.41,11
"Dec 05, 2012",6,2,0.30,4
"Dec 04, 2012",17,41,2.44,17
"Dec 03, 2012",8,22,2.80,8
"Dec 02, 2012",18,61,3.37,17
"Dec 01, 2012",14,47,3.38,13
"Nov 30, 2012",8,11,1.38,8
"Nov 29, 2012",11,12,1.10,9
"Nov 28, 2012",20,35,1.76,15
"Nov 27, 2012",21,62,2.96,19
"Nov 26, 2012",11,29,2.60,10
"Nov 25, 2012",16,39,2.45,14
"Nov 24, 2012",14,41,2.96,12
"Nov 23, 2012",12,22,1.82,9
