Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",2,1,0.57,2
"Mar 19, 2013",5,5,1.03,3
"Mar 18, 2013",2,11,5.31,2
"Mar 17, 2013",3,8,2.78,3
"Mar 16, 2013",5,22,4.47,5
"Mar 15, 2013",7,14,2.03,5
"Mar 14, 2013",0,0,0.00,0
"Mar 13, 2013",3,8,2.65,3
"Mar 12, 2013",6,5,0.86,6
"Mar 11, 2013",6,3,0.42,6
"Mar 10, 2013",3,1,0.26,3
"Mar 09, 2013",3,6,2.10,3
"Mar 08, 2013",5,15,3.06,5
"Mar 07, 2013",8,13,1.64,7
"Mar 06, 2013",7,12,1.66,7
"Mar 05, 2013",2,8,4.00,2
"Mar 04, 2013",6,19,3.16,6
"Mar 03, 2013",4,9,2.15,4
"Mar 02, 2013",8,20,2.55,5
"Mar 01, 2013",3,6,2.03,3
"Feb 28, 2013",5,9,1.84,5
"Feb 27, 2013",6,5,0.79,5
"Feb 26, 2013",3,8,2.75,3
"Feb 25, 2013",6,7,1.23,5
"Feb 24, 2013",12,18,1.51,12
"Feb 23, 2013",9,22,2.42,4
"Feb 22, 2013",0,0,0.00,0
"Feb 21, 2013",10,26,2.64,7
"Feb 20, 2013",1,0,0.33,1
"Feb 19, 2013",4,1,0.32,4
"Feb 18, 2013",3,13,4.43,2
"Feb 17, 2013",2,4,1.88,2
"Feb 16, 2013",9,10,1.08,7
"Feb 15, 2013",2,3,1.50,2
"Feb 14, 2013",4,7,1.78,4
"Feb 13, 2013",4,11,2.87,4
"Feb 12, 2013",12,19,1.58,11
"Feb 11, 2013",4,14,3.59,3
"Feb 10, 2013",3,1,0.19,3
"Feb 09, 2013",5,12,2.38,4
"Feb 08, 2013",3,8,2.52,3
"Feb 07, 2013",4,5,1.17,4
"Feb 06, 2013",8,13,1.67,7
"Feb 05, 2013",8,13,1.66,3
"Feb 04, 2013",4,5,1.16,4
"Feb 03, 2013",4,1,0.35,3
"Feb 02, 2013",3,11,3.66,2
"Feb 01, 2013",10,14,1.41,8
"Jan 31, 2013",6,6,1.05,5
"Jan 30, 2013",7,3,0.44,7
"Jan 29, 2013",9,23,2.56,8
"Jan 28, 2013",5,5,0.93,5
"Jan 27, 2013",5,24,4.77,5
"Jan 26, 2013",3,1,0.28,3
"Jan 25, 2013",7,15,2.18,7
"Jan 24, 2013",6,4,0.68,5
"Jan 23, 2013",5,3,0.54,5
"Jan 22, 2013",4,2,0.40,3
"Jan 21, 2013",5,1,0.15,4
"Jan 20, 2013",7,7,0.97,7
"Jan 19, 2013",4,9,2.24,4
"Jan 18, 2013",2,8,3.84,2
"Jan 17, 2013",7,3,0.39,6
"Jan 16, 2013",8,19,2.32,6
"Jan 15, 2013",6,4,0.73,6
"Jan 14, 2013",4,1,0.36,3
"Jan 13, 2013",7,2,0.24,4
"Jan 12, 2013",2,0,0.12,2
"Jan 11, 2013",2,2,0.85,2
"Jan 10, 2013",5,10,1.93,5
"Jan 09, 2013",5,6,1.11,4
"Jan 08, 2013",5,27,5.33,5
"Jan 07, 2013",3,5,1.75,2
"Jan 06, 2013",9,22,2.49,4
"Jan 05, 2013",3,4,1.50,3
"Jan 04, 2013",3,10,3.18,3
"Jan 03, 2013",4,3,0.66,4
"Jan 02, 2013",3,1,0.20,3
"Jan 01, 2013",1,1,1.16,1
"Dec 31, 2012",3,3,0.89,3
"Dec 30, 2012",4,6,1.42,3
"Dec 29, 2012",3,10,3.33,3
"Dec 28, 2012",6,3,0.51,6
"Dec 27, 2012",3,1,0.33,2
"Dec 26, 2012",8,4,0.49,7
"Dec 25, 2012",1,3,2.86,1
"Dec 24, 2012",1,1,1.37,1
"Dec 23, 2012",1,8,7.51,1
"Dec 22, 2012",3,4,1.22,1
"Dec 21, 2012",2,3,1.25,1
"Dec 20, 2012",5,11,2.18,5
"Dec 19, 2012",3,24,7.90,2
"Dec 18, 2012",5,4,0.88,5
"Dec 17, 2012",5,17,3.35,4
"Dec 16, 2012",13,42,3.22,9
"Dec 15, 2012",6,11,1.84,5
"Dec 14, 2012",5,2,0.32,5
"Dec 13, 2012",6,11,1.77,5
"Dec 12, 2012",9,21,2.35,8
"Dec 11, 2012",3,1,0.28,3
"Dec 10, 2012",9,11,1.21,8
"Dec 09, 2012",6,10,1.73,4
"Dec 08, 2012",6,5,0.82,5
"Dec 07, 2012",2,0,0.25,2
"Dec 06, 2012",9,34,3.73,6
"Dec 05, 2012",4,2,0.51,4
"Dec 04, 2012",7,21,2.95,6
"Dec 03, 2012",6,4,0.70,6
"Dec 02, 2012",4,5,1.23,3
"Dec 01, 2012",8,6,0.76,6
"Nov 30, 2012",6,14,2.26,6
"Nov 29, 2012",10,7,0.66,8
"Nov 28, 2012",9,9,0.95,7
"Nov 27, 2012",6,30,5.01,6
"Nov 26, 2012",6,16,2.70,5
"Nov 25, 2012",2,0,0.11,2
"Nov 24, 2012",10,19,1.86,7
"Nov 23, 2012",8,3,0.38,3
"Nov 22, 2012",8,2,0.25,6
"Nov 21, 2012",3,6,2.13,3
"Nov 20, 2012",10,16,1.64,9
"Nov 19, 2012",7,3,0.37,7
"Nov 18, 2012",6,14,2.34,6
"Nov 17, 2012",5,17,3.37,4
"Nov 16, 2012",13,23,1.79,11
"Nov 15, 2012",12,20,1.65,12
"Nov 14, 2012",7,23,3.24,6
"Nov 13, 2012",7,13,1.90,6
"Nov 12, 2012",8,9,1.17,7
"Nov 11, 2012",10,31,3.13,8
"Nov 10, 2012",11,19,1.72,9
"Nov 09, 2012",10,15,1.53,7
"Nov 08, 2012",8,4,0.47,6
"Nov 07, 2012",5,1,0.16,4
"Nov 06, 2012",8,9,1.12,6
"Nov 05, 2012",8,22,2.75,7
"Nov 04, 2012",10,17,1.67,10
"Nov 03, 2012",9,15,1.61,9
"Nov 02, 2012",6,4,0.71,6
"Nov 01, 2012",3,3,1.10,3
"Oct 31, 2012",11,21,1.90,9
"Oct 30, 2012",3,8,2.57,3
"Oct 29, 2012",3,13,4.23,3
"Oct 28, 2012",4,4,0.89,4
"Oct 27, 2012",3,0,0.14,3
"Oct 26, 2012",10,30,2.96,8
"Oct 25, 2012",6,4,0.70,5
"Oct 24, 2012",7,22,3.12,5
"Oct 23, 2012",2,2,1.23,2
"Oct 22, 2012",4,9,2.21,3
"Oct 21, 2012",2,4,1.91,2
"Oct 20, 2012",3,7,2.49,3
"Oct 19, 2012",1,0,0.26,1
"Oct 18, 2012",5,9,1.85,5
"Oct 17, 2012",7,10,1.38,6
"Oct 16, 2012",6,10,1.62,4
"Oct 15, 2012",3,6,1.87,3
"Oct 14, 2012",8,11,1.39,8
"Oct 13, 2012",5,3,0.53,4
"Oct 12, 2012",2,3,1.46,2
"Oct 11, 2012",8,36,4.54,7
"Oct 10, 2012",3,2,0.55,3
"Oct 09, 2012",8,8,0.95,6
"Oct 08, 2012",5,12,2.44,5
"Oct 07, 2012",3,8,2.60,3
"Oct 06, 2012",4,6,1.58,4
"Oct 05, 2012",4,1,0.18,4
"Oct 04, 2012",2,8,3.92,2
"Oct 03, 2012",4,3,0.79,4
"Oct 02, 2012",7,4,0.57,6
"Oct 01, 2012",2,1,0.31,2
"Sep 30, 2012",5,4,0.79,4
"Sep 29, 2012",3,8,2.80,2
"Sep 28, 2012",5,2,0.35,4
"Sep 27, 2012",4,2,0.42,4
"Sep 26, 2012",5,16,3.18,4
"Sep 25, 2012",1,0,0.17,1
"Sep 24, 2012",3,3,0.85,2
"Sep 23, 2012",2,0,0.00,1
"Sep 22, 2012",1,0,0.00,0
"Sep 21, 2012",2,5,2.63,2
"Sep 20, 2012",3,0,0.16,3
"Sep 19, 2012",2,0,0.16,2
"Sep 18, 2012",2,7,3.54,2
"Sep 17, 2012",3,10,3.28,3
"Sep 16, 2012",3,2,0.53,3
"Sep 15, 2012",6,4,0.70,5
"Sep 14, 2012",1,1,0.50,1
"Sep 13, 2012",3,18,5.94,3
"Sep 12, 2012",3,1,0.36,3
"Sep 11, 2012",5,4,0.70,4
"Sep 10, 2012",7,11,1.52,7
"Sep 09, 2012",7,20,2.82,5
"Sep 08, 2012",1,1,0.84,1
"Sep 07, 2012",1,0,0.00,1
"Sep 06, 2012",6,4,0.64,4
"Sep 05, 2012",3,1,0.27,3
"Sep 04, 2012",4,8,1.98,4
"Sep 03, 2012",3,2,0.67,3
"Sep 02, 2012",1,1,0.87,1
