Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",17,77,4.50,14
"Mar 19, 2013",20,67,3.33,16
"Mar 18, 2013",23,77,3.34,16
"Mar 17, 2013",15,69,4.58,13
"Mar 16, 2013",11,34,3.08,10
"Mar 15, 2013",15,61,4.10,9
"Mar 14, 2013",8,34,4.30,8
"Mar 13, 2013",12,66,5.51,11
"Mar 12, 2013",15,61,4.04,11
"Mar 11, 2013",10,42,4.17,7
"Mar 10, 2013",13,71,5.50,10
"Mar 09, 2013",9,27,3.01,8
"Mar 08, 2013",5,23,4.57,5
"Mar 07, 2013",5,29,5.79,5
"Mar 06, 2013",21,74,3.52,17
"Mar 05, 2013",13,64,4.96,7
"Mar 04, 2013",12,53,4.41,9
"Mar 03, 2013",9,34,3.77,8
"Mar 02, 2013",8,39,4.91,7
"Mar 01, 2013",9,55,6.07,7
"Feb 28, 2013",11,79,7.17,11
"Feb 27, 2013",19,111,5.82,14
"Feb 26, 2013",16,64,4.00,10
"Feb 25, 2013",16,52,3.25,14
"Feb 24, 2013",8,59,7.32,7
"Feb 23, 2013",6,26,4.25,5
"Feb 22, 2013",12,73,6.07,11
"Feb 21, 2013",7,32,4.62,6
"Feb 20, 2013",14,62,4.40,12
"Feb 19, 2013",20,87,4.34,17
"Feb 18, 2013",11,39,3.57,9
"Feb 17, 2013",10,40,4.00,9
"Feb 16, 2013",9,14,1.59,9
"Feb 15, 2013",4,25,6.24,4
"Feb 14, 2013",13,67,5.15,11
"Feb 13, 2013",13,58,4.45,9
"Feb 12, 2013",13,80,6.15,12
"Feb 11, 2013",12,47,3.89,12
"Feb 10, 2013",7,21,2.94,7
"Feb 09, 2013",13,33,2.55,11
"Feb 08, 2013",7,21,3.02,6
"Feb 07, 2013",22,87,3.97,14
"Feb 06, 2013",20,64,3.22,16
"Feb 05, 2013",11,36,3.26,8
"Feb 04, 2013",8,18,2.26,7
"Feb 03, 2013",4,26,6.43,4
"Feb 02, 2013",10,56,5.60,6
"Feb 01, 2013",7,32,4.56,7
"Jan 31, 2013",14,49,3.51,10
