Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",59,154,2.61,48
"Mar 19, 2013",30,112,3.74,29
"Mar 18, 2013",54,194,3.59,47
"Mar 17, 2013",31,101,3.25,29
"Mar 16, 2013",37,150,4.05,32
"Mar 15, 2013",20,53,2.67,17
"Mar 14, 2013",39,138,3.54,32
"Mar 13, 2013",55,197,3.59,43
"Mar 12, 2013",32,118,3.68,32
"Mar 11, 2013",28,106,3.80,25
"Mar 10, 2013",28,94,3.34,25
"Mar 09, 2013",34,110,3.24,28
"Mar 08, 2013",23,68,2.97,19
"Mar 07, 2013",43,170,3.96,39
"Mar 06, 2013",28,116,4.15,25
"Mar 05, 2013",44,150,3.41,34
"Mar 04, 2013",30,133,4.44,22
"Mar 03, 2013",38,126,3.32,30
"Mar 02, 2013",20,66,3.28,15
"Mar 01, 2013",17,37,2.19,14
"Feb 28, 2013",31,146,4.69,23
"Feb 27, 2013",91,298,3.28,76
"Feb 26, 2013",43,145,3.38,37
"Feb 25, 2013",27,89,3.29,23
"Feb 24, 2013",24,96,4.00,23
"Feb 23, 2013",25,82,3.28,19
"Feb 22, 2013",32,106,3.31,23
"Feb 21, 2013",42,136,3.23,32
"Feb 20, 2013",61,207,3.39,51
"Feb 19, 2013",75,229,3.05,54
"Feb 18, 2013",74,318,4.30,63
"Feb 17, 2013",45,145,3.21,36
"Feb 16, 2013",28,113,4.04,25
"Feb 15, 2013",31,89,2.88,27
"Feb 14, 2013",44,180,4.10,30
"Feb 13, 2013",36,136,3.77,29
"Feb 12, 2013",40,135,3.39,35
"Feb 11, 2013",51,200,3.92,37
"Feb 10, 2013",29,96,3.31,23
"Feb 09, 2013",13,40,3.11,12
"Feb 08, 2013",29,89,3.06,23
"Feb 07, 2013",26,100,3.85,25
"Feb 06, 2013",38,159,4.19,36
"Feb 05, 2013",19,56,2.93,15
"Feb 04, 2013",31,108,3.49,24
"Feb 03, 2013",32,148,4.61,30
"Feb 02, 2013",26,61,2.34,23
"Feb 01, 2013",23,53,2.32,16
"Jan 31, 2013",29,85,2.93,26
"Jan 30, 2013",27,89,3.28,20
"Jan 29, 2013",18,49,2.74,17
"Jan 28, 2013",22,90,4.08,17
"Jan 27, 2013",32,117,3.66,28
"Jan 26, 2013",18,51,2.84,15
"Jan 25, 2013",16,41,2.54,10
"Jan 24, 2013",11,40,3.62,9
"Jan 23, 2013",29,86,2.96,23
"Jan 22, 2013",18,45,2.48,18
"Jan 21, 2013",22,61,2.78,18
"Jan 20, 2013",26,86,3.31,20
"Jan 19, 2013",25,72,2.89,21
"Jan 18, 2013",28,96,3.43,24
"Jan 17, 2013",27,87,3.21,21
"Jan 16, 2013",17,92,5.43,16
"Jan 15, 2013",28,148,5.28,23
"Jan 14, 2013",41,139,3.39,35
"Jan 13, 2013",34,180,5.28,24
"Jan 12, 2013",19,63,3.34,17
"Jan 11, 2013",21,82,3.89,16
"Jan 10, 2013",61,226,3.71,45
"Jan 09, 2013",41,161,3.93,33
"Jan 08, 2013",42,161,3.84,38
"Jan 07, 2013",34,152,4.48,26
"Jan 06, 2013",45,179,3.98,37
"Jan 05, 2013",26,116,4.44,19
"Jan 04, 2013",39,108,2.76,27
"Jan 03, 2013",27,92,3.42,23
"Jan 02, 2013",22,85,3.84,21
"Jan 01, 2013",19,51,2.68,15
"Dec 31, 2012",12,35,2.88,9
"Dec 30, 2012",10,29,2.94,9
"Dec 29, 2012",15,53,3.53,14
"Dec 28, 2012",12,44,3.66,11
"Dec 27, 2012",21,62,2.97,14
"Dec 26, 2012",6,24,3.96,6
"Dec 25, 2012",3,16,5.29,3
"Dec 24, 2012",8,19,2.32,7
"Dec 23, 2012",13,41,3.15,11
"Dec 22, 2012",9,26,2.91,9
"Dec 21, 2012",13,52,3.98,11
"Dec 20, 2012",19,47,2.48,15
"Dec 19, 2012",41,137,3.35,35
"Dec 18, 2012",48,168,3.50,37
"Dec 17, 2012",45,135,3.00,41
"Dec 16, 2012",34,93,2.73,26
"Dec 15, 2012",26,107,4.10,21
"Dec 14, 2012",35,100,2.86,27
"Dec 13, 2012",53,204,3.86,45
"Dec 12, 2012",64,247,3.86,47
"Dec 11, 2012",58,199,3.43,54
"Dec 10, 2012",61,181,2.97,50
"Dec 09, 2012",76,243,3.19,64
"Dec 08, 2012",42,154,3.66,33
"Dec 07, 2012",23,113,4.91,17
"Dec 06, 2012",39,93,2.40,31
"Dec 05, 2012",46,117,2.55,29
"Dec 04, 2012",47,162,3.45,40
"Dec 03, 2012",38,168,4.43,31
"Dec 02, 2012",57,177,3.10,40
"Dec 01, 2012",60,175,2.91,52
"Nov 30, 2012",29,75,2.58,27
"Nov 29, 2012",50,142,2.84,40
"Nov 28, 2012",38,119,3.13,33
"Nov 27, 2012",55,146,2.65,45
"Nov 26, 2012",27,56,2.06,20
"Nov 25, 2012",40,112,2.79,32
"Nov 24, 2012",15,37,2.50,12
"Nov 23, 2012",12,42,3.50,12
"Nov 22, 2012",14,56,4.01,12
"Nov 21, 2012",25,70,2.78,16
"Nov 20, 2012",53,176,3.31,44
"Nov 19, 2012",28,105,3.76,23
"Nov 18, 2012",45,154,3.43,37
"Nov 17, 2012",33,115,3.47,24
"Nov 16, 2012",26,80,3.07,17
"Nov 15, 2012",52,200,3.85,46
"Nov 14, 2012",46,141,3.06,39
"Nov 13, 2012",32,82,2.57,25
"Nov 12, 2012",55,188,3.42,45
"Nov 11, 2012",44,124,2.81,36
"Nov 10, 2012",41,120,2.93,35
"Nov 09, 2012",39,137,3.52,32
"Nov 08, 2012",82,318,3.87,72
"Nov 07, 2012",88,341,3.87,69
"Nov 06, 2012",67,232,3.46,51
"Nov 05, 2012",58,169,2.92,45
"Nov 04, 2012",82,248,3.03,59
"Nov 03, 2012",43,112,2.60,27
"Nov 02, 2012",42,80,1.89,29
"Nov 01, 2012",44,135,3.06,31
"Oct 31, 2012",55,154,2.81,45
"Oct 30, 2012",73,226,3.10,67
"Oct 29, 2012",57,191,3.35,43
"Oct 28, 2012",46,192,4.18,38
"Oct 27, 2012",31,114,3.67,23
"Oct 26, 2012",34,96,2.83,24
"Oct 25, 2012",61,164,2.68,53
"Oct 24, 2012",74,272,3.67,59
"Oct 23, 2012",55,265,4.82,42
"Oct 22, 2012",71,277,3.90,58
"Oct 21, 2012",69,210,3.05,52
"Oct 20, 2012",54,167,3.08,39
"Oct 19, 2012",34,136,3.99,30
"Oct 18, 2012",65,207,3.18,56
"Oct 17, 2012",77,229,2.97,66
"Oct 16, 2012",88,302,3.44,76
"Oct 15, 2012",88,309,3.51,73
"Oct 14, 2012",95,295,3.10,72
"Oct 13, 2012",71,274,3.87,56
"Oct 12, 2012",37,108,2.91,33
"Oct 11, 2012",57,171,2.99,41
"Oct 10, 2012",56,187,3.33,47
"Oct 09, 2012",91,318,3.49,73
"Oct 08, 2012",83,259,3.12,66
"Oct 07, 2012",82,262,3.20,63
"Oct 06, 2012",32,59,1.85,23
"Oct 05, 2012",34,92,2.71,27
"Oct 04, 2012",69,188,2.72,45
"Oct 03, 2012",48,181,3.78,34
"Oct 02, 2012",55,242,4.40,44
"Oct 01, 2012",46,151,3.28,36
"Sep 30, 2012",41,193,4.71,36
"Sep 29, 2012",30,64,2.12,22
"Sep 28, 2012",19,98,5.16,13
"Sep 27, 2012",46,204,4.44,34
"Sep 26, 2012",30,92,3.07,27
"Sep 25, 2012",43,116,2.70,32
"Sep 24, 2012",37,133,3.58,25
"Sep 23, 2012",27,85,3.14,21
"Sep 22, 2012",15,58,3.88,13
"Sep 21, 2012",24,64,2.65,18
"Sep 20, 2012",18,43,2.39,16
"Sep 19, 2012",21,58,2.76,18
"Sep 18, 2012",25,76,3.03,18
"Sep 17, 2012",20,81,4.07,19
"Sep 16, 2012",27,85,3.15,16
"Sep 15, 2012",26,86,3.31,17
"Sep 14, 2012",13,32,2.49,9
"Sep 13, 2012",17,55,3.21,13
"Sep 12, 2012",14,59,4.20,10
"Sep 11, 2012",15,81,5.38,15
"Sep 10, 2012",15,43,2.86,15
"Sep 09, 2012",20,59,2.95,13
"Sep 08, 2012",15,37,2.45,10
"Sep 07, 2012",6,39,6.44,4
"Sep 06, 2012",25,80,3.18,19
"Sep 05, 2012",10,35,3.46,8
"Sep 04, 2012",14,66,4.70,7
"Sep 03, 2012",18,59,3.26,14
"Sep 02, 2012",9,38,4.26,8
"Sep 01, 2012",8,37,4.60,6
