Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",1,4,4.38,1
"Mar 19, 2013",6,12,2.08,5
"Mar 18, 2013",8,30,3.77,6
"Mar 17, 2013",6,23,3.76,4
"Mar 16, 2013",1,5,4.66,1
"Mar 15, 2013",1,15,15.48,1
"Mar 14, 2013",6,21,3.52,6
"Mar 13, 2013",2,6,2.77,2
"Mar 12, 2013",5,15,3.02,2
"Mar 11, 2013",3,1,0.36,2
"Mar 10, 2013",5,7,1.49,4
"Mar 09, 2013",4,13,3.17,3
"Mar 08, 2013",6,13,2.20,6
"Mar 07, 2013",6,25,4.21,5
"Mar 06, 2013",1,0,0.16,1
"Mar 05, 2013",3,13,4.30,2
"Mar 04, 2013",5,13,2.61,4
"Mar 03, 2013",6,22,3.64,5
"Mar 02, 2013",2,16,8.01,2
"Mar 01, 2013",4,29,7.35,4
"Feb 28, 2013",4,18,4.62,3
"Feb 27, 2013",6,14,2.28,6
"Feb 26, 2013",1,3,2.70,1
"Feb 25, 2013",4,24,6.12,3
"Feb 24, 2013",2,22,11.17,2
"Feb 23, 2013",2,6,3.06,2
"Feb 22, 2013",0,0,0.00,0
"Feb 21, 2013",8,44,5.49,6
"Feb 20, 2013",5,14,2.87,2
"Feb 19, 2013",4,9,2.20,4
"Feb 18, 2013",2,17,8.60,2
"Feb 17, 2013",1,10,9.85,1
"Feb 16, 2013",3,12,4.08,3
"Feb 15, 2013",2,9,4.39,2
"Feb 14, 2013",2,5,2.46,2
"Feb 13, 2013",5,8,1.64,3
"Feb 12, 2013",6,2,0.26,5
"Feb 11, 2013",7,36,5.21,7
"Feb 10, 2013",4,16,3.91,4
"Feb 09, 2013",2,12,5.82,2
"Feb 08, 2013",2,8,3.86,2
"Feb 07, 2013",3,1,0.37,3
"Feb 06, 2013",8,30,3.81,7
"Feb 05, 2013",5,5,1.07,5
"Feb 04, 2013",3,2,0.62,3
"Feb 03, 2013",0,0,0.00,0
"Feb 02, 2013",4,11,2.79,4
"Feb 01, 2013",6,10,1.74,5
"Jan 31, 2013",2,21,10.55,2
"Jan 30, 2013",7,30,4.29,6
"Jan 29, 2013",3,13,4.39,3
"Jan 28, 2013",1,0,0.41,1
"Jan 27, 2013",3,6,1.97,3
"Jan 26, 2013",1,2,2.21,1
"Jan 25, 2013",1,12,11.62,1
"Jan 24, 2013",7,3,0.47,6
"Jan 23, 2013",4,12,3.03,4
"Jan 22, 2013",1,0,0.39,1
"Jan 21, 2013",6,18,3.04,6
"Jan 20, 2013",3,10,3.35,3
"Jan 19, 2013",4,4,0.96,4
"Jan 18, 2013",3,11,3.58,2
"Jan 17, 2013",3,11,3.53,3
"Jan 16, 2013",4,10,2.56,3
"Jan 15, 2013",1,5,5.15,1
"Jan 14, 2013",1,1,0.50,1
"Jan 13, 2013",2,0,0.00,2
"Jan 12, 2013",3,17,5.68,2
"Jan 11, 2013",3,12,4.14,3
"Jan 10, 2013",1,13,12.75,1
"Jan 09, 2013",3,7,2.29,3
"Jan 08, 2013",2,8,3.80,2
"Jan 07, 2013",4,8,1.91,4
"Jan 06, 2013",3,6,1.96,3
"Jan 05, 2013",3,10,3.29,2
"Jan 04, 2013",6,7,1.12,6
"Jan 03, 2013",2,3,1.60,2
"Jan 02, 2013",0,0,0.00,0
"Jan 01, 2013",0,0,0.00,0
"Dec 31, 2012",2,14,7.08,2
"Dec 30, 2012",4,19,4.67,4
"Dec 29, 2012",0,0,0.00,0
"Dec 28, 2012",4,4,1.06,4
"Dec 27, 2012",2,0,0.08,1
"Dec 26, 2012",7,32,4.57,4
"Dec 25, 2012",2,11,5.72,1
"Dec 24, 2012",2,1,0.36,2
"Dec 23, 2012",3,2,0.74,3
"Dec 22, 2012",1,8,7.81,1
"Dec 21, 2012",2,1,0.26,2
"Dec 20, 2012",3,1,0.42,3
"Dec 19, 2012",1,10,9.90,1
"Dec 18, 2012",1,1,1.32,1
"Dec 17, 2012",2,10,5.12,2
"Dec 16, 2012",8,29,3.65,8
"Dec 15, 2012",4,19,4.63,3
"Dec 14, 2012",6,13,2.19,4
"Dec 13, 2012",10,30,2.99,7
"Dec 12, 2012",3,1,0.47,3
"Dec 11, 2012",10,30,2.98,9
"Dec 10, 2012",8,12,1.53,7
"Dec 09, 2012",12,39,3.24,12
"Dec 08, 2012",8,21,2.66,5
"Dec 07, 2012",3,12,4.10,2
"Dec 06, 2012",12,31,2.62,12
