Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",8,13,1.62,6
"Mar 19, 2013",8,8,0.98,7
"Mar 18, 2013",9,11,1.28,8
"Mar 17, 2013",8,19,2.42,6
"Mar 16, 2013",3,2,0.81,3
"Mar 15, 2013",2,0,0.09,1
"Mar 14, 2013",4,11,2.77,3
"Mar 13, 2013",8,20,2.56,5
"Mar 12, 2013",2,6,3.05,2
"Mar 11, 2013",2,3,1.67,2
"Mar 10, 2013",1,3,2.50,1
"Mar 09, 2013",3,9,2.84,3
"Mar 08, 2013",2,3,1.57,2
"Mar 07, 2013",2,1,0.36,2
"Mar 06, 2013",3,1,0.28,2
"Mar 05, 2013",1,0,0.00,1
"Mar 04, 2013",5,3,0.66,4
"Mar 03, 2013",6,10,1.68,5
"Mar 02, 2013",2,4,2.23,2
"Mar 01, 2013",5,11,2.28,4
"Feb 28, 2013",5,11,2.14,5
"Feb 27, 2013",12,19,1.62,10
"Feb 26, 2013",2,1,0.26,1
"Feb 25, 2013",3,1,0.17,2
"Feb 24, 2013",4,7,1.73,4
"Feb 23, 2013",2,5,2.25,2
"Feb 22, 2013",5,4,0.87,4
"Feb 21, 2013",4,5,1.13,3
"Feb 20, 2013",11,15,1.33,8
"Feb 19, 2013",8,17,2.15,8
"Feb 18, 2013",3,6,2.05,3
"Feb 17, 2013",6,11,1.79,4
"Feb 16, 2013",4,5,1.20,3
"Feb 15, 2013",1,3,2.55,1
"Feb 14, 2013",3,4,1.49,3
"Feb 13, 2013",7,14,2.01,7
"Feb 12, 2013",4,4,1.03,4
"Feb 11, 2013",7,14,2.03,6
"Feb 10, 2013",5,12,2.41,5
"Feb 09, 2013",3,10,3.19,1
"Feb 08, 2013",4,7,1.87,4
"Feb 07, 2013",11,15,1.37,6
"Feb 06, 2013",2,4,1.86,2
"Feb 05, 2013",7,12,1.76,6
"Feb 04, 2013",1,3,3.17,1
"Feb 03, 2013",7,11,1.51,7
"Feb 02, 2013",2,3,1.63,2
"Feb 01, 2013",6,13,2.11,4
"Jan 31, 2013",6,13,2.15,6
"Jan 30, 2013",6,12,1.92,6
"Jan 29, 2013",2,2,1.00,2
"Jan 28, 2013",3,3,0.88,3
"Jan 27, 2013",12,21,1.79,9
"Jan 26, 2013",6,6,0.92,5
"Jan 25, 2013",6,12,1.99,5
"Jan 24, 2013",5,10,2.06,5
"Jan 23, 2013",4,9,2.27,3
"Jan 22, 2013",3,5,1.75,2
"Jan 21, 2013",4,7,1.70,3
"Jan 20, 2013",4,6,1.38,4
"Jan 19, 2013",7,13,1.84,7
"Jan 18, 2013",4,6,1.54,4
"Jan 17, 2013",10,19,1.86,9
"Jan 16, 2013",10,15,1.45,7
"Jan 15, 2013",14,22,1.54,11
"Jan 14, 2013",8,7,0.90,6
"Jan 13, 2013",17,30,1.79,13
"Jan 12, 2013",10,22,2.21,9
"Jan 11, 2013",6,14,2.32,6
"Jan 10, 2013",11,13,1.17,7
"Jan 09, 2013",6,11,1.83,5
"Jan 08, 2013",5,7,1.31,5
