Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",12,30,2.52,10
"Mar 19, 2013",12,28,2.35,11
"Mar 18, 2013",11,26,2.32,8
"Mar 17, 2013",13,46,3.55,12
"Mar 16, 2013",8,31,3.82,5
"Mar 15, 2013",12,14,1.15,8
"Mar 14, 2013",6,3,0.58,4
"Mar 13, 2013",11,29,2.61,8
"Mar 12, 2013",4,20,4.91,4
"Mar 11, 2013",10,28,2.78,10
"Mar 10, 2013",5,35,6.94,4
"Mar 09, 2013",9,8,0.83,8
"Mar 08, 2013",7,12,1.66,6
"Mar 07, 2013",8,21,2.69,5
"Mar 06, 2013",8,39,4.82,7
"Mar 05, 2013",7,31,4.48,5
"Mar 04, 2013",5,18,3.69,3
"Mar 03, 2013",9,39,4.32,8
"Mar 02, 2013",9,42,4.61,8
"Mar 01, 2013",4,11,2.75,2
"Feb 28, 2013",10,16,1.61,9
"Feb 27, 2013",8,31,3.87,7
"Feb 26, 2013",8,27,3.43,8
"Feb 25, 2013",17,30,1.75,13
"Feb 24, 2013",15,33,2.19,9
"Feb 23, 2013",10,34,3.44,9
"Feb 22, 2013",8,36,4.47,5
"Feb 21, 2013",10,39,3.95,8
"Feb 20, 2013",11,30,2.71,10
"Feb 19, 2013",16,49,3.09,16
"Feb 18, 2013",17,61,3.61,17
"Feb 17, 2013",10,46,4.63,10
"Feb 16, 2013",8,43,5.37,7
"Feb 15, 2013",6,29,4.77,4
"Feb 14, 2013",13,33,2.50,13
"Feb 13, 2013",5,13,2.65,5
"Feb 12, 2013",9,37,4.06,8
"Feb 11, 2013",18,52,2.90,15
"Feb 10, 2013",5,3,0.56,4
"Feb 09, 2013",7,29,4.12,3
"Feb 08, 2013",1,0,0.17,1
"Feb 07, 2013",16,22,1.37,11
"Feb 06, 2013",13,34,2.65,12
"Feb 05, 2013",9,33,3.62,9
"Feb 04, 2013",12,30,2.46,10
"Feb 03, 2013",22,62,2.84,19
"Feb 02, 2013",12,15,1.28,12
"Feb 01, 2013",13,46,3.51,8
"Jan 31, 2013",9,22,2.45,8
"Jan 30, 2013",17,58,3.41,15
"Jan 29, 2013",6,16,2.64,5
"Jan 28, 2013",9,35,3.86,9
"Jan 27, 2013",12,46,3.80,12
"Jan 26, 2013",6,31,5.19,5
"Jan 25, 2013",10,27,2.69,8
"Jan 24, 2013",6,12,2.07,4
"Jan 23, 2013",11,15,1.38,10
"Jan 22, 2013",10,27,2.70,8
"Jan 21, 2013",12,31,2.59,9
"Jan 20, 2013",13,49,3.79,9
"Jan 19, 2013",10,18,1.81,8
"Jan 18, 2013",10,26,2.57,8
"Jan 17, 2013",10,24,2.43,7
"Jan 16, 2013",19,69,3.66,13
"Jan 15, 2013",10,58,5.82,8
"Jan 14, 2013",8,20,2.52,7
"Jan 13, 2013",13,40,3.11,10
"Jan 12, 2013",9,2,0.18,7
"Jan 11, 2013",6,40,6.59,6
"Jan 10, 2013",16,52,3.22,15
"Jan 09, 2013",10,62,6.17,9
"Jan 08, 2013",13,28,2.17,11
"Jan 07, 2013",14,35,2.51,10
"Jan 06, 2013",16,33,2.07,11
"Jan 05, 2013",6,21,3.45,5
"Jan 04, 2013",10,49,4.93,10
"Jan 03, 2013",10,16,1.61,8
"Jan 02, 2013",10,18,1.85,8
"Jan 01, 2013",4,6,1.59,2
"Dec 31, 2012",3,16,5.48,2
"Dec 30, 2012",2,18,9.04,2
"Dec 29, 2012",11,25,2.25,8
"Dec 28, 2012",5,4,0.85,5
"Dec 27, 2012",12,35,2.92,8
"Dec 26, 2012",4,3,0.76,3
"Dec 25, 2012",4,17,4.16,4
"Dec 24, 2012",2,6,2.90,2
"Dec 23, 2012",4,14,3.57,4
"Dec 22, 2012",4,3,0.71,4
"Dec 21, 2012",1,12,11.73,1
"Dec 20, 2012",5,11,2.13,5
"Dec 19, 2012",16,51,3.17,13
"Dec 18, 2012",9,28,3.06,8
"Dec 17, 2012",15,33,2.18,14
"Dec 16, 2012",16,60,3.74,14
"Dec 15, 2012",11,30,2.76,8
"Dec 14, 2012",8,24,3.01,6
"Dec 13, 2012",13,19,1.43,13
"Dec 12, 2012",16,58,3.62,13
"Dec 11, 2012",20,63,3.13,16
"Dec 10, 2012",16,40,2.48,14
"Dec 09, 2012",12,58,4.80,12
"Dec 08, 2012",16,68,4.23,15
"Dec 07, 2012",11,31,2.79,7
"Dec 06, 2012",20,62,3.11,18
"Dec 05, 2012",12,45,3.72,11
"Dec 04, 2012",17,61,3.57,11
"Dec 03, 2012",17,39,2.28,13
"Dec 02, 2012",9,41,4.52,9
"Dec 01, 2012",5,9,1.87,5
"Nov 30, 2012",9,27,3.04,9
"Nov 29, 2012",16,29,1.83,12
"Nov 28, 2012",11,22,1.99,10
"Nov 27, 2012",14,36,2.58,13
"Nov 26, 2012",10,17,1.67,10
"Nov 25, 2012",6,7,1.17,5
"Nov 24, 2012",4,27,6.75,4
"Nov 23, 2012",8,15,1.92,5
"Nov 22, 2012",6,27,4.48,4
"Nov 21, 2012",12,40,3.30,9
"Nov 20, 2012",10,30,2.95,8
"Nov 19, 2012",18,48,2.65,15
"Nov 18, 2012",13,30,2.29,9
"Nov 17, 2012",9,7,0.76,8
"Nov 16, 2012",9,23,2.57,9
"Nov 15, 2012",10,30,3.01,9
"Nov 14, 2012",16,47,2.92,14
"Nov 13, 2012",27,116,4.31,23
"Nov 12, 2012",19,34,1.78,11
"Nov 11, 2012",22,55,2.48,17
"Nov 10, 2012",15,74,4.96,12
"Nov 09, 2012",6,15,2.42,5
"Nov 08, 2012",17,52,3.06,16
"Nov 07, 2012",16,52,3.25,15
"Nov 06, 2012",20,65,3.23,14
"Nov 05, 2012",25,60,2.41,21
"Nov 04, 2012",33,127,3.84,22
"Nov 03, 2012",13,22,1.70,13
"Nov 02, 2012",17,45,2.64,13
"Nov 01, 2012",20,53,2.67,16
"Oct 31, 2012",21,45,2.15,18
"Oct 30, 2012",21,70,3.33,16
"Oct 29, 2012",16,39,2.46,14
"Oct 28, 2012",15,52,3.49,15
"Oct 27, 2012",17,73,4.32,15
"Oct 26, 2012",10,35,3.48,10
"Oct 25, 2012",34,74,2.18,27
"Oct 24, 2012",21,60,2.86,18
"Oct 23, 2012",19,69,3.63,18
"Oct 22, 2012",21,50,2.40,18
"Oct 21, 2012",23,48,2.10,22
"Oct 20, 2012",21,61,2.91,18
"Oct 19, 2012",15,35,2.32,14
"Oct 18, 2012",21,78,3.73,14
"Oct 17, 2012",19,78,4.11,18
"Oct 16, 2012",24,79,3.29,18
"Oct 15, 2012",25,51,2.06,24
"Oct 14, 2012",30,129,4.29,24
"Oct 13, 2012",16,74,4.63,15
"Oct 12, 2012",7,34,4.82,7
"Oct 11, 2012",18,66,3.68,14
"Oct 10, 2012",20,73,3.67,18
"Oct 09, 2012",14,47,3.36,11
"Oct 08, 2012",28,88,3.13,24
"Oct 07, 2012",11,48,4.33,11
"Oct 06, 2012",11,35,3.14,11
"Oct 05, 2012",10,40,4.01,8
"Oct 04, 2012",21,89,4.25,17
"Oct 03, 2012",19,38,1.99,15
"Oct 02, 2012",11,41,3.75,9
"Oct 01, 2012",19,73,3.84,14
"Sep 30, 2012",24,98,4.09,22
"Sep 29, 2012",16,65,4.06,10
"Sep 28, 2012",14,39,2.81,14
"Sep 27, 2012",16,50,3.14,15
"Sep 26, 2012",27,55,2.03,25
"Sep 25, 2012",22,87,3.95,18
"Sep 24, 2012",17,58,3.44,14
"Sep 23, 2012",16,77,4.81,12
"Sep 22, 2012",5,13,2.56,5
"Sep 21, 2012",17,80,4.71,12
"Sep 20, 2012",10,21,2.06,8
"Sep 19, 2012",10,22,2.21,10
"Sep 18, 2012",5,29,5.79,5
"Sep 17, 2012",18,48,2.69,14
"Sep 16, 2012",15,55,3.69,11
"Sep 15, 2012",5,2,0.33,4
"Sep 14, 2012",14,31,2.21,10
"Sep 13, 2012",11,43,3.94,7
"Sep 12, 2012",14,37,2.62,11
"Sep 11, 2012",13,22,1.72,10
"Sep 10, 2012",17,51,3.01,14
"Sep 09, 2012",4,10,2.48,4
"Sep 08, 2012",17,45,2.66,11
"Sep 07, 2012",13,64,4.94,8
"Sep 06, 2012",22,50,2.25,13
"Sep 05, 2012",19,38,2.00,14
"Sep 04, 2012",16,35,2.16,11
"Sep 03, 2012",9,24,2.72,6
"Sep 02, 2012",30,41,1.36,18
"Sep 01, 2012",9,33,3.72,6
