Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",14,50,3.59,14
"Mar 19, 2013",18,61,3.42,14
"Mar 18, 2013",14,39,2.82,9
"Mar 17, 2013",18,84,4.69,16
"Mar 16, 2013",10,23,2.31,9
"Mar 15, 2013",16,73,4.54,14
"Mar 14, 2013",17,95,5.59,15
"Mar 13, 2013",13,42,3.22,10
"Mar 12, 2013",27,72,2.68,21
"Mar 11, 2013",21,51,2.45,19
"Mar 10, 2013",18,55,3.06,15
"Mar 09, 2013",7,19,2.74,6
"Mar 08, 2013",8,36,4.52,7
"Mar 07, 2013",14,41,2.94,12
"Mar 06, 2013",16,69,4.34,14
"Mar 05, 2013",19,45,2.38,18
"Mar 04, 2013",22,70,3.19,20
"Mar 03, 2013",20,100,5.00,14
"Mar 02, 2013",11,31,2.78,9
"Mar 01, 2013",15,48,3.18,11
"Feb 28, 2013",30,129,4.30,26
"Feb 27, 2013",29,122,4.22,24
"Feb 26, 2013",31,115,3.70,26
"Feb 25, 2013",24,86,3.60,21
"Feb 24, 2013",23,102,4.41,17
"Feb 23, 2013",22,123,5.57,16
"Feb 22, 2013",13,48,3.69,13
"Feb 21, 2013",22,74,3.36,22
"Feb 20, 2013",22,91,4.14,20
"Feb 19, 2013",23,98,4.27,18
"Feb 18, 2013",24,77,3.19,21
"Feb 17, 2013",16,66,4.11,15
"Feb 16, 2013",16,66,4.14,14
"Feb 15, 2013",21,60,2.86,19
"Feb 14, 2013",23,66,2.88,18
"Feb 13, 2013",29,126,4.35,27
"Feb 12, 2013",26,108,4.17,18
"Feb 11, 2013",25,106,4.23,21
"Feb 10, 2013",25,134,5.36,20
"Feb 09, 2013",18,90,4.98,14
"Feb 08, 2013",20,116,5.81,16
"Feb 07, 2013",21,63,3.02,16
"Feb 06, 2013",35,138,3.94,28
"Feb 05, 2013",22,38,1.71,18
"Feb 04, 2013",26,75,2.90,23
"Feb 03, 2013",30,159,5.32,24
"Feb 02, 2013",12,74,6.18,12
"Feb 01, 2013",19,64,3.36,16
"Jan 31, 2013",20,51,2.54,17
"Jan 30, 2013",29,146,5.02,24
"Jan 29, 2013",21,98,4.68,18
"Jan 28, 2013",36,131,3.63,26
"Jan 27, 2013",24,106,4.41,20
"Jan 26, 2013",26,86,3.32,23
"Jan 25, 2013",18,62,3.46,13
"Jan 24, 2013",22,103,4.70,18
"Jan 23, 2013",27,102,3.79,23
"Jan 22, 2013",18,48,2.67,15
"Jan 21, 2013",26,93,3.58,23
"Jan 20, 2013",19,81,4.24,14
"Jan 19, 2013",11,31,2.78,9
"Jan 18, 2013",11,42,3.81,11
"Jan 17, 2013",21,64,3.05,20
"Jan 16, 2013",29,40,1.38,20
"Jan 15, 2013",17,76,4.46,14
"Jan 14, 2013",10,37,3.69,9
"Jan 13, 2013",25,104,4.14,21
"Jan 12, 2013",12,55,4.59,11
"Jan 11, 2013",10,44,4.42,9
"Jan 10, 2013",18,47,2.62,14
"Jan 09, 2013",15,55,3.66,13
"Jan 08, 2013",18,71,3.96,15
"Jan 07, 2013",19,65,3.42,17
"Jan 06, 2013",20,87,4.33,17
"Jan 05, 2013",14,87,6.25,12
"Jan 04, 2013",14,44,3.15,13
"Jan 03, 2013",16,98,6.10,14
"Jan 02, 2013",15,66,4.42,13
"Jan 01, 2013",11,61,5.51,7
"Dec 31, 2012",6,38,6.25,6
"Dec 30, 2012",9,20,2.26,9
"Dec 29, 2012",7,7,0.96,6
"Dec 28, 2012",16,67,4.18,14
"Dec 27, 2012",14,62,4.41,12
"Dec 26, 2012",12,58,4.84,12
"Dec 25, 2012",4,5,1.35,4
"Dec 24, 2012",8,11,1.34,8
"Dec 23, 2012",9,55,6.07,9
"Dec 22, 2012",6,25,4.18,3
"Dec 21, 2012",12,33,2.71,9
"Dec 20, 2012",9,50,5.60,6
"Dec 19, 2012",15,48,3.20,11
"Dec 18, 2012",20,79,3.95,12
"Dec 17, 2012",11,17,1.57,11
"Dec 16, 2012",25,108,4.31,21
"Dec 15, 2012",11,58,5.23,11
"Dec 14, 2012",10,22,2.16,9
"Dec 13, 2012",20,66,3.28,19
"Dec 12, 2012",22,101,4.61,19
"Dec 11, 2012",26,103,3.98,24
"Dec 10, 2012",27,79,2.92,20
"Dec 09, 2012",34,125,3.69,29
"Dec 08, 2012",23,41,1.79,16
"Dec 07, 2012",16,86,5.35,13
"Dec 06, 2012",20,72,3.60,16
"Dec 05, 2012",19,84,4.41,18
"Dec 04, 2012",24,101,4.21,21
"Dec 03, 2012",22,81,3.67,20
"Dec 02, 2012",27,102,3.79,23
"Dec 01, 2012",23,74,3.21,16
"Nov 30, 2012",20,25,1.26,18
"Nov 29, 2012",23,85,3.69,14
"Nov 28, 2012",44,107,2.43,36
"Nov 27, 2012",32,125,3.90,29
"Nov 26, 2012",26,98,3.78,21
"Nov 25, 2012",16,72,4.50,14
"Nov 24, 2012",19,66,3.47,16
"Nov 23, 2012",21,74,3.53,21
"Nov 22, 2012",9,18,2.04,8
"Nov 21, 2012",5,19,3.72,5
"Nov 20, 2012",20,57,2.87,16
"Nov 19, 2012",28,84,3.02,26
"Nov 18, 2012",28,106,3.80,22
"Nov 17, 2012",20,127,6.34,19
"Nov 16, 2012",18,69,3.82,16
"Nov 15, 2012",23,108,4.71,21
"Nov 14, 2012",35,121,3.45,31
"Nov 13, 2012",37,149,4.03,26
"Nov 12, 2012",41,140,3.40,33
"Nov 11, 2012",31,85,2.74,27
"Nov 10, 2012",29,139,4.79,22
"Nov 09, 2012",25,83,3.32,23
"Nov 08, 2012",43,183,4.25,37
"Nov 07, 2012",23,96,4.18,19
"Nov 06, 2012",30,101,3.37,24
"Nov 05, 2012",27,49,1.82,24
"Nov 04, 2012",29,138,4.76,22
"Nov 03, 2012",16,49,3.05,14
"Nov 02, 2012",18,77,4.27,16
"Nov 01, 2012",39,141,3.63,31
"Oct 31, 2012",28,127,4.55,28
"Oct 30, 2012",36,111,3.08,25
"Oct 29, 2012",34,114,3.37,31
"Oct 28, 2012",14,57,4.11,14
"Oct 27, 2012",25,88,3.51,20
"Oct 26, 2012",22,60,2.71,17
"Oct 25, 2012",39,183,4.69,26
"Oct 24, 2012",30,98,3.26,23
"Oct 23, 2012",29,138,4.75,19
"Oct 22, 2012",19,116,6.09,14
"Oct 21, 2012",23,115,4.99,22
"Oct 20, 2012",22,71,3.22,20
"Oct 19, 2012",21,65,3.09,18
"Oct 18, 2012",37,98,2.64,33
"Oct 17, 2012",40,148,3.71,29
"Oct 16, 2012",28,145,5.18,23
"Oct 15, 2012",35,100,2.84,30
"Oct 14, 2012",29,118,4.07,23
"Oct 13, 2012",34,164,4.83,27
"Oct 12, 2012",24,64,2.67,20
"Oct 11, 2012",28,102,3.64,24
"Oct 10, 2012",33,119,3.61,30
"Oct 09, 2012",29,121,4.17,25
"Oct 08, 2012",42,181,4.30,29
"Oct 07, 2012",26,137,5.26,20
"Oct 06, 2012",23,73,3.18,17
"Oct 05, 2012",23,84,3.67,20
"Oct 04, 2012",21,18,0.84,18
"Oct 03, 2012",25,118,4.74,23
"Oct 02, 2012",37,126,3.42,27
"Oct 01, 2012",37,127,3.43,28
"Sep 30, 2012",28,128,4.57,26
"Sep 29, 2012",23,115,4.98,18
"Sep 28, 2012",18,83,4.59,17
"Sep 27, 2012",33,93,2.81,28
"Sep 26, 2012",29,110,3.81,23
"Sep 25, 2012",29,110,3.80,27
"Sep 24, 2012",17,51,2.99,15
"Sep 23, 2012",25,89,3.56,21
"Sep 22, 2012",21,89,4.26,17
"Sep 21, 2012",15,48,3.21,13
"Sep 20, 2012",17,48,2.83,15
"Sep 19, 2012",28,98,3.48,20
"Sep 18, 2012",18,50,2.79,16
"Sep 17, 2012",24,94,3.93,21
"Sep 16, 2012",27,144,5.35,24
"Sep 15, 2012",11,34,3.10,10
"Sep 14, 2012",16,34,2.11,14
"Sep 13, 2012",26,94,3.62,20
"Sep 12, 2012",15,20,1.31,13
"Sep 11, 2012",28,98,3.49,22
"Sep 10, 2012",15,76,5.05,11
"Sep 09, 2012",15,66,4.37,11
"Sep 08, 2012",15,54,3.61,13
"Sep 07, 2012",10,47,4.66,6
"Sep 06, 2012",18,44,2.45,13
"Sep 05, 2012",19,59,3.10,18
"Sep 04, 2012",11,43,3.94,8
"Sep 03, 2012",17,82,4.80,10
"Sep 02, 2012",12,18,1.47,10
"Sep 01, 2012",11,54,4.93,8
