Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",10,31,3.05,8
"Mar 19, 2013",10,27,2.68,9
"Mar 18, 2013",9,21,2.36,7
"Mar 17, 2013",18,50,2.78,12
"Mar 16, 2013",7,14,1.94,5
"Mar 15, 2013",9,27,2.99,7
"Mar 14, 2013",11,25,2.28,9
"Mar 13, 2013",13,12,0.89,9
"Mar 12, 2013",10,24,2.42,7
"Mar 11, 2013",8,12,1.54,8
"Mar 10, 2013",10,29,2.89,8
"Mar 09, 2013",1,3,3.03,1
"Mar 08, 2013",11,19,1.73,10
"Mar 07, 2013",7,10,1.40,7
"Mar 06, 2013",6,20,3.32,4
"Mar 05, 2013",5,4,0.78,2
"Mar 04, 2013",25,66,2.66,14
"Mar 03, 2013",13,35,2.72,10
"Mar 02, 2013",12,32,2.68,9
"Mar 01, 2013",10,32,3.23,10
"Feb 28, 2013",13,38,2.90,11
"Feb 27, 2013",13,36,2.79,10
"Feb 26, 2013",11,31,2.78,10
"Feb 25, 2013",10,30,2.99,10
"Feb 24, 2013",8,22,2.71,8
"Feb 23, 2013",8,22,2.78,6
"Feb 22, 2013",8,17,2.15,5
"Feb 21, 2013",5,18,3.69,5
"Feb 20, 2013",10,28,2.84,9
"Feb 19, 2013",15,56,3.73,14
"Feb 18, 2013",13,35,2.69,11
"Feb 17, 2013",17,40,2.35,15
"Feb 16, 2013",6,12,2.07,5
"Feb 15, 2013",3,10,3.31,3
"Feb 14, 2013",14,27,1.91,8
"Feb 13, 2013",13,30,2.29,11
"Feb 12, 2013",10,20,2.00,9
"Feb 11, 2013",14,35,2.49,11
"Feb 10, 2013",7,15,2.10,7
"Feb 09, 2013",8,21,2.61,5
"Feb 08, 2013",8,26,3.31,6
"Feb 07, 2013",10,24,2.40,7
"Feb 06, 2013",9,18,2.00,9
"Feb 05, 2013",11,28,2.54,11
"Feb 04, 2013",14,28,2.02,12
"Feb 03, 2013",6,8,1.35,5
"Feb 02, 2013",5,20,4.04,5
"Feb 01, 2013",1,0,0.00,0
"Jan 31, 2013",14,20,1.43,9
"Jan 30, 2013",12,33,2.79,11
"Jan 29, 2013",8,15,1.92,7
"Jan 28, 2013",7,14,1.94,7
"Jan 27, 2013",5,14,2.79,5
"Jan 26, 2013",6,8,1.27,5
"Jan 25, 2013",9,20,2.22,7
"Jan 24, 2013",10,35,3.48,10
"Jan 23, 2013",13,38,2.89,9
"Jan 22, 2013",17,42,2.49,13
"Jan 21, 2013",22,71,3.22,22
"Jan 20, 2013",21,54,2.58,15
"Jan 19, 2013",16,41,2.58,11
"Jan 18, 2013",10,29,2.91,9
"Jan 17, 2013",9,21,2.32,8
"Jan 16, 2013",11,27,2.42,9
"Jan 15, 2013",9,24,2.69,8
"Jan 14, 2013",12,32,2.70,12
"Jan 13, 2013",10,22,2.24,9
"Jan 12, 2013",4,9,2.21,4
"Jan 11, 2013",4,12,3.02,3
"Jan 10, 2013",16,37,2.28,14
"Jan 09, 2013",13,41,3.12,11
"Jan 08, 2013",14,46,3.31,12
"Jan 07, 2013",9,32,3.53,6
"Jan 06, 2013",10,22,2.21,9
"Jan 05, 2013",6,8,1.41,5
"Jan 04, 2013",4,13,3.24,3
"Jan 03, 2013",5,11,2.22,3
"Jan 02, 2013",21,61,2.88,17
"Jan 01, 2013",4,13,3.13,3
"Dec 31, 2012",7,14,1.96,5
"Dec 30, 2012",3,17,5.69,3
"Dec 29, 2012",11,11,0.97,7
"Dec 28, 2012",2,1,0.50,2
"Dec 27, 2012",3,8,2.76,3
"Dec 26, 2012",6,2,0.33,5
"Dec 25, 2012",4,8,2.02,4
"Dec 24, 2012",10,21,2.08,6
"Dec 23, 2012",8,31,3.92,5
"Dec 22, 2012",3,11,3.53,3
"Dec 21, 2012",2,9,4.29,2
"Dec 20, 2012",11,28,2.54,9
"Dec 19, 2012",17,41,2.40,14
"Dec 18, 2012",22,46,2.08,18
"Dec 17, 2012",21,50,2.36,20
"Dec 16, 2012",37,91,2.47,31
"Dec 15, 2012",19,45,2.37,14
"Dec 14, 2012",33,67,2.02,29
"Dec 13, 2012",35,101,2.88,26
"Dec 12, 2012",38,91,2.39,34
"Dec 11, 2012",56,144,2.56,46
"Dec 10, 2012",58,165,2.84,49
"Dec 09, 2012",46,128,2.78,42
"Dec 08, 2012",32,89,2.77,28
"Dec 07, 2012",31,77,2.50,22
"Dec 06, 2012",33,79,2.39,24
"Dec 05, 2012",36,90,2.49,33
"Dec 04, 2012",32,94,2.94,28
"Dec 03, 2012",23,60,2.59,22
"Dec 02, 2012",31,79,2.56,29
"Dec 01, 2012",22,70,3.19,18
"Nov 30, 2012",15,39,2.58,15
"Nov 29, 2012",20,53,2.64,16
"Nov 28, 2012",22,48,2.16,17
"Nov 27, 2012",26,71,2.73,23
"Nov 26, 2012",24,67,2.79,21
"Nov 25, 2012",21,56,2.68,20
"Nov 24, 2012",11,32,2.90,9
"Nov 23, 2012",17,28,1.67,12
"Nov 22, 2012",7,23,3.24,7
"Nov 21, 2012",10,26,2.60,8
"Nov 20, 2012",31,93,3.00,28
"Nov 19, 2012",36,81,2.24,30
"Nov 18, 2012",44,170,3.87,35
"Nov 17, 2012",35,103,2.94,26
"Nov 16, 2012",25,55,2.22,21
"Nov 15, 2012",31,88,2.84,26
"Nov 14, 2012",11,39,3.50,10
"Nov 13, 2012",31,73,2.36,22
"Nov 12, 2012",28,53,1.90,18
"Nov 11, 2012",23,59,2.58,19
"Nov 10, 2012",15,44,2.96,14
"Nov 09, 2012",10,27,2.74,8
"Nov 08, 2012",13,39,2.99,11
"Nov 07, 2012",9,29,3.19,7
"Nov 06, 2012",11,25,2.23,9
"Nov 05, 2012",17,48,2.82,12
"Nov 04, 2012",13,31,2.37,12
"Nov 03, 2012",14,46,3.30,13
"Nov 02, 2012",6,15,2.50,6
"Nov 01, 2012",6,9,1.54,5
"Oct 31, 2012",5,10,1.93,5
"Oct 30, 2012",11,22,2.01,11
"Oct 29, 2012",15,25,1.69,13
"Oct 28, 2012",15,29,1.93,13
"Oct 27, 2012",7,20,2.91,5
"Oct 26, 2012",13,48,3.69,12
"Oct 25, 2012",16,36,2.23,15
"Oct 24, 2012",12,30,2.53,9
"Oct 23, 2012",12,37,3.05,11
"Oct 22, 2012",7,17,2.50,7
"Oct 21, 2012",16,42,2.60,14
"Oct 20, 2012",5,21,4.11,5
"Oct 19, 2012",11,19,1.75,10
"Oct 18, 2012",13,31,2.40,8
"Oct 17, 2012",11,27,2.45,9
"Oct 16, 2012",17,42,2.47,14
"Oct 15, 2012",14,36,2.55,9
"Oct 14, 2012",28,66,2.36,15
"Oct 13, 2012",8,26,3.22,6
"Oct 12, 2012",2,4,1.92,2
"Oct 11, 2012",16,54,3.37,9
"Oct 10, 2012",6,13,2.24,4
"Oct 09, 2012",7,23,3.30,6
