Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",28,137,4.88,20
"Mar 19, 2013",26,156,6.00,22
"Mar 18, 2013",25,90,3.61,24
"Mar 17, 2013",29,123,4.25,23
"Mar 16, 2013",25,111,4.45,21
"Mar 15, 2013",19,108,5.67,15
"Mar 14, 2013",23,102,4.44,20
"Mar 13, 2013",34,158,4.65,25
"Mar 12, 2013",27,128,4.73,17
"Mar 11, 2013",32,196,6.11,28
"Mar 10, 2013",33,169,5.13,22
"Mar 09, 2013",27,75,2.78,16
"Mar 08, 2013",20,56,2.79,17
"Mar 07, 2013",34,119,3.49,27
"Mar 06, 2013",25,139,5.56,23
"Mar 05, 2013",39,134,3.43,33
"Mar 04, 2013",36,159,4.42,30
"Mar 03, 2013",38,156,4.10,28
"Mar 02, 2013",28,114,4.07,19
"Mar 01, 2013",23,150,6.52,15
"Feb 28, 2013",40,139,3.46,31
"Feb 27, 2013",36,159,4.41,32
"Feb 26, 2013",25,87,3.49,16
"Feb 25, 2013",29,96,3.33,26
"Feb 24, 2013",33,144,4.37,26
"Feb 23, 2013",20,127,6.33,19
"Feb 22, 2013",17,109,6.41,16
"Feb 21, 2013",34,173,5.09,27
"Feb 20, 2013",24,96,3.99,20
"Feb 19, 2013",24,91,3.80,24
"Feb 18, 2013",37,154,4.16,32
"Feb 17, 2013",37,217,5.86,27
"Feb 16, 2013",21,73,3.45,15
"Feb 15, 2013",18,61,3.41,14
"Feb 14, 2013",31,161,5.20,22
"Feb 13, 2013",35,150,4.29,31
"Feb 12, 2013",29,150,5.16,25
"Feb 11, 2013",40,211,5.28,32
"Feb 10, 2013",48,175,3.64,37
"Feb 09, 2013",17,96,5.63,14
"Feb 08, 2013",24,121,5.04,19
"Feb 07, 2013",37,119,3.22,31
"Feb 06, 2013",41,174,4.24,29
"Feb 05, 2013",29,105,3.61,27
"Feb 04, 2013",22,113,5.12,18
"Feb 03, 2013",30,158,5.27,28
"Feb 02, 2013",17,64,3.75,14
"Feb 01, 2013",24,80,3.34,16
"Jan 31, 2013",43,132,3.06,35
"Jan 30, 2013",42,196,4.66,33
"Jan 29, 2013",32,142,4.45,22
"Jan 28, 2013",40,115,2.87,35
"Jan 27, 2013",35,65,1.86,23
"Jan 26, 2013",22,98,4.45,18
"Jan 25, 2013",17,75,4.39,16
"Jan 24, 2013",31,141,4.55,29
