Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",11,50,4.56,10
"Mar 19, 2013",6,18,3.08,5
"Mar 18, 2013",4,22,5.48,3
"Mar 17, 2013",10,45,4.49,9
"Mar 16, 2013",8,31,3.90,5
"Mar 15, 2013",5,9,1.75,5
"Mar 14, 2013",7,25,3.60,7
"Mar 13, 2013",13,64,4.91,12
"Mar 12, 2013",11,28,2.57,10
"Mar 11, 2013",10,82,8.19,10
"Mar 10, 2013",3,14,4.51,1
"Mar 09, 2013",6,32,5.42,6
"Mar 08, 2013",5,17,3.34,5
"Mar 07, 2013",20,95,4.74,17
"Mar 06, 2013",18,55,3.06,15
"Mar 05, 2013",13,64,4.92,12
"Mar 04, 2013",8,26,3.23,7
"Mar 03, 2013",15,72,4.78,13
"Mar 02, 2013",10,72,7.16,9
"Mar 01, 2013",5,13,2.57,3
"Feb 28, 2013",11,44,4.01,10
"Feb 27, 2013",9,30,3.34,7
"Feb 26, 2013",13,49,3.75,13
"Feb 25, 2013",12,62,5.14,12
"Feb 24, 2013",7,24,3.43,7
"Feb 23, 2013",9,35,3.91,8
"Feb 22, 2013",8,36,4.54,6
"Feb 21, 2013",15,70,4.70,14
"Feb 20, 2013",17,59,3.47,16
"Feb 19, 2013",17,95,5.57,13
"Feb 18, 2013",13,39,3.01,10
"Feb 17, 2013",12,25,2.08,9
"Feb 16, 2013",1,2,2.35,1
"Feb 15, 2013",5,27,5.31,5
"Feb 14, 2013",11,62,5.59,10
"Feb 13, 2013",22,111,5.05,21
"Feb 12, 2013",22,121,5.50,20
"Feb 11, 2013",19,77,4.05,18
"Feb 10, 2013",13,52,4.00,12
"Feb 09, 2013",4,13,3.16,4
"Feb 08, 2013",6,23,3.77,4
"Feb 07, 2013",20,94,4.71,17
"Feb 06, 2013",7,30,4.32,6
"Feb 05, 2013",17,61,3.57,15
"Feb 04, 2013",9,35,3.89,8
"Feb 03, 2013",13,60,4.59,12
"Feb 02, 2013",14,56,3.97,12
"Feb 01, 2013",11,34,3.13,11
"Jan 31, 2013",11,41,3.76,9
"Jan 30, 2013",12,32,2.70,12
"Jan 29, 2013",20,60,3.02,18
"Jan 28, 2013",17,65,3.81,16
"Jan 27, 2013",14,91,6.51,12
"Jan 26, 2013",7,27,3.86,7
"Jan 25, 2013",4,15,3.82,4
"Jan 24, 2013",11,22,1.95,6
"Jan 23, 2013",16,52,3.25,10
"Jan 22, 2013",14,55,3.96,11
"Jan 21, 2013",9,21,2.37,9
"Jan 20, 2013",13,42,3.23,10
"Jan 19, 2013",9,29,3.22,8
"Jan 18, 2013",7,14,2.07,6
"Jan 17, 2013",2,10,4.85,2
"Jan 16, 2013",16,54,3.38,12
"Jan 15, 2013",12,59,4.94,10
"Jan 14, 2013",16,67,4.18,15
"Jan 13, 2013",17,50,2.92,16
"Jan 12, 2013",8,19,2.36,5
"Jan 11, 2013",8,36,4.50,7
"Jan 10, 2013",11,35,3.21,8
"Jan 09, 2013",13,53,4.05,8
"Jan 08, 2013",7,18,2.60,6
"Jan 07, 2013",11,67,6.13,8
"Jan 06, 2013",11,36,3.26,9
"Jan 05, 2013",13,27,2.05,7
"Jan 04, 2013",7,50,7.18,4
"Jan 03, 2013",3,1,0.34,2
"Jan 02, 2013",2,0,0.16,2
"Jan 01, 2013",4,1,0.22,2
"Dec 31, 2012",2,10,5.19,2
"Dec 30, 2012",1,9,9.01,1
"Dec 29, 2012",8,25,3.11,8
"Dec 28, 2012",2,18,8.82,2
"Dec 27, 2012",7,13,1.88,7
"Dec 26, 2012",3,20,6.69,3
"Dec 25, 2012",3,8,2.79,3
"Dec 24, 2012",6,47,7.89,4
"Dec 23, 2012",3,0,0.08,3
