Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",15,29,1.91,14
"Mar 19, 2013",17,36,2.14,16
"Mar 18, 2013",14,31,2.19,14
"Mar 17, 2013",18,39,2.17,14
"Mar 16, 2013",5,5,0.95,5
"Mar 15, 2013",14,34,2.40,11
"Mar 14, 2013",12,11,0.89,10
"Mar 13, 2013",12,35,2.92,9
"Mar 12, 2013",11,24,2.15,10
"Mar 11, 2013",17,22,1.27,15
"Mar 10, 2013",9,27,2.99,7
"Mar 09, 2013",10,16,1.65,9
"Mar 08, 2013",12,37,3.09,10
"Mar 07, 2013",14,34,2.41,13
"Mar 06, 2013",16,25,1.56,12
"Mar 05, 2013",11,13,1.22,10
"Mar 04, 2013",17,23,1.36,14
"Mar 03, 2013",13,32,2.48,12
"Mar 02, 2013",6,11,1.81,6
"Mar 01, 2013",9,26,2.90,8
"Feb 28, 2013",12,34,2.86,10
"Feb 27, 2013",19,37,1.96,15
"Feb 26, 2013",21,40,1.90,17
"Feb 25, 2013",15,33,2.22,14
"Feb 24, 2013",22,32,1.47,18
"Feb 23, 2013",11,32,2.87,9
"Feb 22, 2013",10,16,1.64,9
"Feb 21, 2013",15,26,1.73,14
"Feb 20, 2013",15,9,0.60,14
"Feb 19, 2013",22,33,1.51,17
"Feb 18, 2013",13,20,1.57,12
"Feb 17, 2013",19,43,2.27,13
"Feb 16, 2013",16,39,2.44,14
"Feb 15, 2013",17,31,1.85,14
"Feb 14, 2013",9,15,1.66,9
"Feb 13, 2013",26,26,1.00,18
"Feb 12, 2013",14,38,2.68,11
"Feb 11, 2013",16,32,2.02,14
"Feb 10, 2013",22,36,1.64,18
"Feb 09, 2013",22,52,2.35,20
"Feb 08, 2013",7,22,3.19,5
"Feb 07, 2013",15,22,1.49,13
"Feb 06, 2013",7,12,1.64,6
"Feb 05, 2013",16,35,2.20,12
"Feb 04, 2013",13,19,1.48,7
"Feb 03, 2013",16,37,2.32,15
"Feb 02, 2013",14,25,1.75,10
"Feb 01, 2013",6,18,3.08,6
"Jan 31, 2013",13,32,2.50,11
"Jan 30, 2013",17,40,2.36,17
"Jan 29, 2013",20,53,2.67,15
"Jan 28, 2013",21,39,1.88,16
"Jan 27, 2013",9,34,3.78,8
"Jan 26, 2013",9,15,1.70,7
"Jan 25, 2013",11,40,3.60,10
"Jan 24, 2013",9,22,2.49,7
"Jan 23, 2013",16,49,3.09,13
"Jan 22, 2013",18,37,2.07,16
"Jan 21, 2013",15,19,1.26,14
"Jan 20, 2013",18,28,1.58,13
"Jan 19, 2013",5,7,1.44,2
"Jan 18, 2013",18,33,1.83,15
"Jan 17, 2013",15,27,1.81,15
"Jan 16, 2013",15,36,2.37,14
"Jan 15, 2013",11,23,2.10,9
